src_ip,dst_ip,src_port,dst_port,protocol,duration,packets_in,packets_out,bytes_in,bytes_out,avg_packet_size,packet_rate,byte_rate,label
172.1.34.73,8.8.8.8,45742,443,TCP,19.8857,3,4,174,1948,303.14,11.47,3477.08,0
172.1.34.73,8.8.8.8,48029,443,TCP,19.6238,4,4,228,1980,276.0,10.98,3030.61,0
142.251.43.138,172.1.34.73,443,20335,TCP,19.571,3,4,252,2556,401.14,10.36,4154.95,0
172.1.34.73,142.250.77.142,57950,443,TCP,19.4339,4,5,306,1813,235.44,1.05,247.1,0
172.1.34.73,57.144.57.32,7573,5222,TCP,19.2824,5,5,270,330,60.0,3.4,204.16,0
172.1.34.73,8.8.8.8,19710,443,TCP,19.2744,4,4,228,1980,276.0,9.73,2684.92,0
44.232.217.99,172.1.34.73,443,33118,TCP,18.8943,10,14,1370,5551,288.38,20.39,5879.96,0
172.1.34.73,8.8.8.8,10655,443,TCP,18.894,4,4,228,1948,272.0,15.98,4346.45,0
57.144.57.32,172.1.34.73,443,34778,TCP,30.0421,2,3,108,213,64.2,0.31,20.07,0
172.1.34.73,8.8.8.8,54644,53,TCP,20.5469,7,8,505,511,67.73,9.34,632.93,0
172.1.34.73,8.8.8.8,52724,53,TCP,20.5467,7,7,449,433,63.0,8.72,549.52,0
172.1.34.73,8.8.8.8,51276,53,TCP,20.3389,6,6,439,379,68.17,6.2,422.74,0
172.1.34.73,142.251.221.195,55711,443,TCP,19.0756,5,7,1742,2700,370.17,8.05,2980.64,0
172.1.34.73,172.2.4.133,55712,7680,TCP,16.5743,5,6,371,425,72.36,27.87,2016.99,0
142.251.43.46,172.1.34.73,443,3848,TCP,40.088,2,3,108,247,71.0,0.24,16.97,0
172.1.34.73,10.0.0.2,25261,53,TCP,30.178,0,1,0,66,66.0,0.0,0.0,0
172.1.34.73,10.0.0.2,11045,53,TCP,40.5301,0,2,0,132,66.0,1.99,131.45,0
172.1.34.73,142.250.182.67,17442,443,TCP,36.7282,2,3,120,163,56.6,0.22,12.18,0
172.1.34.73,57.144.57.32,7711,443,TCP,15.26,1,1,54,55,54.5,51.25,2793.22,0
172.1.34.73,8.8.8.8,49669,53,TCP,13.5168,6,6,435,377,67.67,54.37,3679.34,0
172.1.34.73,8.8.8.8,54137,53,TCP,13.5167,5,6,339,377,65.09,57.83,3764.4,0
172.1.34.73,172.16.0.1,12818,8090,TCP,54.8283,0,9,0,3133,348.11,0.26,89.13,0
172.1.34.73,150.171.27.10,57411,443,TCP,40.8283,0,2,0,109,54.5,0.07,3.63,0
172.1.34.73,142.251.223.170,30162,443,TCP,40.8283,0,2,0,109,54.5,0.07,3.63,0
172.1.34.73,150.171.22.12,6806,443,TCP,40.8282,0,2,0,109,54.5,0.07,3.63,0
172.1.34.73,172.217.24.106,46895,443,TCP,31.5772,2,3,120,163,56.6,0.42,23.72,0
172.1.34.73,142.251.223.170,20410,443,TCP,19.9429,0,2,0,109,54.5,15.05,820.12,0
172.1.34.73,142.251.223.170,51829,443,TCP,19.9429,0,2,0,109,54.5,13.36,728.24,0
216.239.36.223,172.1.34.73,443,24827,TCP,70.9256,3,4,163,313,68.0,0.12,8.47,0
23.41.122.55,172.1.34.73,80,18270,TCP,70.9255,9,10,701,6310,369.0,0.32,116.6,0
172.1.34.73,8.8.8.8,40065,443,TCP,15.7639,3,4,174,1948,303.14,20.18,6117.9,0
172.1.34.73,8.8.8.8,23584,443,TCP,15.4163,3,4,174,2044,316.86,63.47,20111.71,0
172.217.24.202,172.1.34.73,443,33117,TCP,80.9442,6,5,415,2820,294.09,0.17,51.36,0
172.1.34.73,57.144.57.32,14463,443,TCP,80.7906,112,199,45386,37769,267.38,4.95,1323.44,0
172.1.34.73,172.217.24.202,37544,443,TCP,80.6792,9,10,3111,3037,323.58,0.3,98.02,0
